AMTD,Ameritrade Holding Corporation,NNM
AMTR,"Amtran, Inc.",NNM
AMWD,American Woodmark Corporation,NNM
AMXC,AMX Corporation,NNM
AMZN,"Amazon.com, Inc.",NNM
ANAD,"ANADIGICS, Inc.",NNM
ANAT,American National Insurance Company,NNM
ANCC,AirNet Communications Corporation,NNM
ANDE,"Andersons, Inc. (The)",NNM
ANDR,"Andersen Group, Inc.",NNM
ANDW,Andrew Corporation,NNM
ANEN,"Anaren Microwave, Inc.",NNM
ANFI,"American National Financial, Inc.",NNM
ANGN,Angeion Corporation,SCM
ANII,"Advanced Nutraceuticals, Inc.",SCM
ANIK,Anika Therapeutics Inc.,NNM
ANLT,"Analytical Surveys, Inc.",NNM
ANLY,Analysts International Corporation,NNM
ANNB,Annapolis Bancorp Inc.,SCM
ANPI,"Angiotech Pharmaceuticals, Inc.",NNM
ANSI,"Advanced Neuromodulation Systems, Inc.",NNM
ANSR,answerthink inc.,NNM
ANSS,"ANSYS, Inc.",NNM
ANST,Ansoft Corporation,NNM
ANTP,PHAZAR CORP,SCM
ANTR,"Antares Pharma, Inc.",SCM
ANTV,Antenna TV S.A.,NNM
AOLA,"America Online Latin America, Inc.",NNM
AORGB,Allen Organ Company,NNM
APAC,"APAC Customer Services, Inc.",NNM
APAGF,APCO Argentina Inc.,SCM
APAT,"APA Optics, Inc.",NNM
APCC,American Power Conversion Corporation,NNM
APCFY,Atlas Pacific Limited,SCM
APCS,"Alamosa Holdings, Inc.",NNM
APFC,American Pacific Corporation,NNM
APGT,"Apogee Technology, Inc.",SCM
APHT,Aphton Corp.,NNM
APII,"Action Products International, Inc.",SCM
APLX,"Applix, Inc.",NNM
APMC,Applied Microsystems Corporation,NNM
APOG,"Apogee Enterprises, Inc.",NNM
APOL,"Apollo Group, Inc.",NNM
APPA,"AP Pharma, Inc.",NNM
APPB,"Applebee's International, Inc.",NNM
APPS,"Appiant Technologies, Inc.",SCM
APROZ,"America First Apartment Investors, L.P.",NNM
APRS,"Apropos Technology, Inc.",NNM
APSA,Alto Palermo S.A.,NNM
APSG,"Applied Signal Technology, Inc.",NNM
APTI,"Advanced Power Technology, Inc.",NNM
APTM,Aptimus Inc,NNM
APWR,"ASTROPOWER, Inc.",NNM
AQCR,"Aqua Care Systems, Inc. New",SCM
ARBA,"Ariba, Inc.",NNM
ARCAF,Arcadis NV,NNM
ARCC,Allied Riser Communications Corporation,NNM
ARDI,"At Road, Inc.",NNM
ARDM,Aradigm Corporation,NNM
ARDNA,"Arden Group, Inc.",NNM
AREA,Area Bancshares Corporation,NNM
ARGN,Amerigon Incorporated,SCM
ARGY,"Argosy Education Group, Inc.",NNM
ARIA,"ARIAD Pharmaceuticals, Inc.",NNM
ARKR,Ark Restaurants Corp.,NNM
ARLC,Arel Communications & Software Ltd.,NNM
ARLP,"Alliance Resource Partners, L.P.",NNM
ARMF,"Armanino Foods of Distinction, Incorporated",SCM
ARMHY,"ARM Holdings, plc",NNM
ARMX,Aramex International Limited,NNM
ARNA,"Arena Pharmaceuticals, Inc.",NNM
AROW,Arrow Financial Corporation,NNM
ARQL,"ArQule, Inc.",NNM
ARRO,"Arrow International, Inc.",NNM
ARRS,Arris Group Inc,NNM
ARRW,"MindArrow Systems, Inc.",SCM
ARRY,Array BioPharma Inc.,NNM
ARTC,ArthroCare Corporation,NNM
ARTD,"ARTISTdirect, Inc.",NNM
ARTG,"Art Technology Group, Inc.",NNM
ARTI,"Artisan Components, Inc.",NNM
ARTL,The Aristotle Corporation,SCM
ARTNA,Artesian Resources Corporation,NNM
ARTW,"Art's-Way Manufacturing Co., Inc.",SCM
ARWM,"Arrow-Magnolia International, Inc.",SCM
ARXX,Aeroflex Incorporated,NNM
ASAA,ASA International Ltd.,SCM
ASBC,Associated Banc-Corp,NNM
ASBI,Ameriana Bancorp,NNM
ASBP,ASB Financial Corp.,NNM
ASCA,"Ameristar Casinos, Inc.",NNM
ASCL,Ascential Software Corporation,NNM
ASCX,"Advanced Switching Communications, Inc.",NNM
ASFC,Astoria Financial Corporation,NNM
ASFD,"Ashford.com, Inc.",NNM
ASFI,"Asta Funding, Inc.",NNM
ASFT,"Artisoft, Inc.",NNM
ASGN,"On Assignment, Inc.",NNM
ASGR,America Service Group Inc.,NNM
ASHW,"Ashworth, Inc.",NNM
ASIA,"AsiaInfo Holdings, Inc.",NNM
ASIPY,Anangel-American Shipholdings Limited,NNM
ASKJ,"Ask Jeeves, Inc.",NNM
ASMI,ASM International N.V.,NNM
ASML,ASML Holding N.V.,NNM
ASPM,"Aspect Medical Systems, Inc.",NNM
ASPT,Aspect Communications Corporation,NNM
ASPX,"Auspex Systems, Inc.",NNM
ASRV,AmeriServ Financial Inc.,NNM
ASRVP,AmeriServ Financial Inc.,NNM
ASTE,"Astec Industries, Inc.",NNM
ASTM,"Aastrom Biosciences, Inc.",NNM
ASTSF,"ASE Test, Limited",NNM
ASTT,ASAT Holdings Limited,NNM
ASVI,"A.S.V., Inc.",NNM
ASYS,"Amtech Systems, Inc.",NNM
ASYT,"Asyst Technologies, Inc.",NNM
ATAC,Aftermarket Technology Corp.,NNM
ATAXZ,"America First Tax Exempt Investors, L.P.",NNM
ATCO,American Technology Corporation,SCM
ATEA,"Astea International, Inc.",NNM
ATGCE,ATG Inc.,NNM
ATGI,"Alpha Technologies Group, Inc.",NNM
ATGN,"AltiGen Communications, Inc.",NNM
ATHY,AppliedTheory Corporation,NNM
ATIS,"Advanced Tissue Sciences, Inc.",NNM
ATLRS,Atlantic Realty Trust,SCM
ATMI,ATMI Inc.,NNM
ATML,Atmel Corporation,NNM
ATMS,"Tidel Technologies, Inc.",NNM
ATPG,ATP Oil & Gas Corporation,NNM
ATPX,"Advanced Technical Products, Inc.",NNM
ATRI,ATRION Corporation,NNM
ATRK,"@Track Communications, Inc.",SCM
ATRM,Aetrium Incorporated,NNM
ATRO,Astronics Corporation,NNM
ATRX,"Atrix Laboratories, Inc.",NNM
ATSI,"ATS Medical, Inc.",NNM
ATSN,"Artesyn Technologies, Inc.",NNM
ATTC,"AT&T Canada, Inc.",NNM
ATTL,AT&T Latin America Corp.,NNM
ATTU,Attunity Ltd.,NNM
ATTY,"1-800-ATTORNEY, Inc.",SCM
ATVI,"Activision, Inc.",NNM
ATYT,ATI Technologies Inc.,NNM
AUBN,"Auburn National Bancorporation, Inc.",SCM
AUDC,AudioCodes Ltd.,NNM
AUGT,August Technology Corporation,NNM
AULT,Ault Incorporated,NNM
AUTH,"Authoriszor, Inc.",NNM
AUTN,Autonomy Corporation plc,NNM
AVAN,"Avant Immunotherapeutics, Inc.",NNM
AVCC,Acorn Holding Corp.,SCM
AVCI,Avici Systems Inc.,NNM
AVCS,American Vantage Companies,SCM
AVCT,Avocent Corporation,NNM
AVEA,"Avenue A, Inc.",NNM
AVGE,"Aviation General, Inc.",SCM
AVGN,"Avigen, Inc.",NNM
AVGO,"AvantGo, Inc.",NNM
AVID,"Avid Technology, Inc.",NNM
AVII,"AVI BioPharma, Inc.",NNM
AVIIW,"AVI BioPharma, Inc.",NNM
AVIIZ,"AVI BioPharma, Inc.",NNM
AVIR,Aviron,NNM
AVNT,Avant! Corporation,NNM
AVNX,Avanex Corporation,NNM
AVSR,Avistar Communications Corporation,NNM
AVTR,Avatar Holdings Inc.,NNM
AVTRG,Avatar Holdings Inc.,SCM
AVXT,"AVAX Technologies, Inc.",NNM
AWBC,AmericanWest Bancorporation,NNM
AWLD,Activeworlds Corporation,SCM
AWLDW,Activeworlds Corporation,SCM
AWRE,"Aware, Inc.",NNM
AXCA,Axcan Pharma Inc.,NNM
AXSI,"Axcess, Inc.",SCM
AXTI,AXT Inc,NNM
AXYS,"Axsys Technologies, Inc.",NNM
AXYX,"Axonyx, Inc.",NNM
AZPN,"Aspen Technology, Inc.",NNM
